,SmoteKNeighbours,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
0,1,2,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
41,5,7,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
59,7,7,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
58,7,6,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
57,7,5,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
56,7,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
55,7,3,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
54,7,2,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
53,6,10,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
52,6,9,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
51,6,8,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
