,SmoteKNeighbours,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
40,5,6,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
68,8,7,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
22,3,6,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
23,3,7,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
49,6,6,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
25,3,9,"{'class_weight': None, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",157,23
61,7,9,"{'class_weight': None, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",157,23
31,4,6,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
32,4,7,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
33,4,8,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
34,4,9,"{'class_weight': None, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",157,23
60,7,8,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
