,SmoteKNeighbours,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
0,1,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
41,5,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
59,7,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
58,7,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
57,7,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
56,7,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
55,7,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
54,7,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
53,6,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
52,6,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
51,6,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
50,6,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
49,6,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
48,6,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
47,6,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
46,6,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
45,6,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
44,5,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
43,5,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
60,7,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
61,7,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
62,7,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
72,9,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
79,9,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
